,time,lat,lon,seconds,0,Description
54,2019-10-23 10:30:11,4.6336422,-74.08598,12,0,"Musica de la carga, despertadores"
55,2019-10-23 10:30:23,4.633593599999999,-74.08576640000001,12,0,"Musica de la carga, despertadores"
56,2019-10-23 10:30:35,4.6336537,-74.08589920000001,12,0,"Musica de la carga, despertadores"
57,2019-10-23 10:30:47,4.6336254,-74.0858016,48,0,"Musica de la carga, despertadores"
58,2019-10-23 10:31:35,4.633729,-74.0858743,12,0,"Musica de la carga, despertadores"
59,2019-10-23 10:31:47,4.633847900000001,-74.0859922,20,0,"Musica de la carga, despertadores"
60,2019-10-23 10:32:07,4.634108599999999,-74.0859915,12,0,"Musica de la carga, despertadores"
61,2019-10-23 10:32:19,4.634061900000001,-74.0860838,24,0,"Musica de la carga, despertadores"
62,2019-10-23 10:32:43,4.6339839000000005,-74.08623990000001,23,0,"Musica de la carga, despertadores"
63,2019-10-23 10:33:06,4.6338539,-74.0862623,24,0,"Musica de la carga, despertadores"
64,2019-10-23 10:33:30,4.634024,-74.0862195,36,0,"Musica de la carga, despertadores"
65,2019-10-23 10:34:06,4.6340533,-74.08632109999999,24,0,"Musica de la carga, despertadores"
66,2019-10-23 10:34:30,4.6341611,-74.0864193,24,0,"Musica de la carga, despertadores"
67,2019-10-23 10:34:54,4.634097,-74.086489,12,0,"Musica de la carga, despertadores"
68,2019-10-23 10:35:06,4.634200099999999,-74.08667249999999,43,0,"Musica de la carga, despertadores"
69,2019-10-23 10:35:49,4.6340755,-74.0867185,24,0,"Musica de la carga, despertadores"
70,2019-10-23 10:36:13,4.634171299999999,-74.08656359999999,26,0,"Musica de la carga, despertadores"
71,2019-10-23 10:34:00,4.634273333333333,-74.08633166666667,29,0,"Musica de la carga, despertadores"
72,2019-10-23 10:34:29,4.633611666666667,-74.08650166666666,14,0,"Musica de la carga, despertadores"
73,2019-10-23 10:34:43,4.633756666666667,-74.086495,266,0,"Musica de la carga, despertadores"
74,2019-10-23 10:39:09,4.6340639,-74.0866255,12,0,"Musica de la carga, despertadores"
75,2019-10-23 10:39:21,4.6338610000000005,-74.0867172,12,0,"Musica de la carga, despertadores"
76,2019-10-23 10:35:53,4.634133333333334,-74.08659833333333,249,0,"Musica de la carga, despertadores"
77,2019-10-23 10:36:19,4.634181666666667,-74.08665833333333,14,0,"Musica de la carga, despertadores"
78,2019-10-23 10:36:33,4.633958333333334,-74.08675166666667,15,0,"Musica de la carga, despertadores"
79,2019-10-23 10:36:48,4.634128333333334,-74.08678833333333,20,0,"Musica de la carga, despertadores"
80,2019-10-23 10:37:08,4.634366666666667,-74.08672666666666,17,0,"Musica de la carga, despertadores"
81,2019-10-23 10:37:25,4.63424,-74.08672,32,0,"Musica de la carga, despertadores"
82,2019-10-23 10:37:57,4.634538333333333,-74.08665333333333,15,0,"Musica de la carga, despertadores"
83,2019-10-23 10:38:12,4.634403333333334,-74.08659499999999,29,0.7848558572123763,"Musica de la carga, despertadores"
84,2019-10-23 10:38:41,4.634158333333334,-74.0867316666667,46,0.7858837851428585,"Musica de la carga, despertadores"
85,2019-10-23 10:39:27,4.634303333333333,-74.08663,50,0.7868996902487134,"Musica de la carga, despertadores"
86,2019-10-23 10:40:17,4.634436666666666,-74.08701833333333,72,0,"Musica de la carga, despertadores"
87,2019-10-23 10:41:29,4.633955,-74.0863716666667,262,0,"Musica de la carga, despertadores"
88,2019-10-23 10:42:42,4.634463333333333,-74.08591666666666,249,0.7898780013289826,"Musica de la carga, despertadores"
89,2019-10-23 10:43:07,4.634666666666666,-74.08593666666667,250,0.790848501887865,"Musica de la carga, despertadores"
90,2019-10-23 10:43:33,4.634948333333334,-74.08579333333334,17,0.7918082784642186,"Musica de la carga, despertadores"
91,2019-10-23 10:43:50,4.634874999999999,-74.085955,14,0,"Musica de la carga, despertadores"
92,2019-10-23 10:44:04,4.634991666666666,-74.08602166666667,21,0.793696589710787,"Musica de la carga, despertadores"
93,2019-10-23 10:44:25,4.63523,-74.08603333333333,15,0.7946255707199397,"Musica de la carga, despertadores"
94,2019-10-23 10:44:40,4.635296666666666,-74.08625,29,0.7955447210577695,"Musica de la carga, despertadores"
95,2019-10-23 10:45:09,4.6355900000000005,-74.08620833333333,15,0,"Musica de la carga, despertadores"
96,2019-10-23 10:45:24,4.635623333333333,-74.08630333333333,31,0,"Musica de la carga, despertadores"
97,2019-10-23 10:45:55,4.635691666666666,-74.08642499999998,28,0.798245215138499,"Musica de la carga, despertadores"
98,2019-10-23 10:46:23,4.635665,-74.08672166666666,15,0.79912703891951,"Musica de la carga, despertadores"
99,2019-10-23 10:46:38,4.635801666666667,-74.08676833333334,30,0.8,"Musica de la carga, despertadores"
100,2019-10-23 10:47:08,4.636755000000001,-74.08932333333334,250,0.8008642747565285,"Carro diesel, cortacespedes"
101,2019-10-23 10:51:18,4.635742,-74.0870891,12,0,"Carro diesel, cortacespedes"
102,2019-10-23 10:48:26,4.635786666666666,-74.08737166666667,237,0,"Carro diesel, cortacespedes"
103,2019-10-23 10:52:23,4.6357349999999995,-74.0874828,23,0.803406667859756,"Carro diesel, cortacespedes"
104,2019-10-23 10:49:20,4.6362000000000005,-74.08716666666666,249,0,"Carro diesel, cortacespedes"
105,2019-10-23 10:50:08,4.6350066666666665,-74.08788166666666,16,0.8050611730529539,"Carro diesel, cortacespedes"
106,2019-10-23 10:50:24,4.635056666666667,-74.08991166666667,235,0,"Carro diesel, cortacespedes"
107,2019-10-23 10:50:51,4.6365300000000005,-74.08771833333334,16,0.8066847510973899,"Carro diesel, cortacespedes"
108,2019-10-23 10:51:07,4.635843333333334,-74.08798833333334,15,0.8074852995881246,"Carro diesel, cortacespedes"
109,2019-10-23 10:51:22,4.635103333333333,-74.08827333333333,14,0.808278537031645,"Carro diesel, cortacespedes"
110,2019-10-23 10:51:36,4.636113333333333,-74.08846166666667,15,0.8090645957573315,"Carro diesel, cortacespedes"
111,2019-10-23 10:51:51,4.6357099999999996,-74.08951833333334,14,0,"Carro diesel, cortacespedes"
112,2019-10-23 10:52:05,4.63628,-74.08896166666666,14,0,"Carro diesel, cortacespedes"
113,2019-10-23 10:52:19,4.6350783333333325,-74.08864833333334,17,0,"Carro diesel, cortacespedes"
114,2019-10-23 10:52:36,4.636143333333334,-74.08846166666667,24,0,"Carro diesel, cortacespedes"
115,2019-10-23 10:53:00,4.635956666666667,-74.088205,16,0.8128915978453836,"Carro diesel, cortacespedes"
116,2019-10-23 10:53:16,4.6340650000000005,-74.08529833333334,15,0.8136371723492323,"Carro diesel, cortacespedes"
117,2019-10-23 10:53:31,4.6353583333333335,-74.08825166666666,15,0.814376401461225,"Carro diesel, cortacespedes"
118,2019-10-23 10:53:46,4.63631,-74.08779166666666,26,0.8151093922785061,"Carro diesel, cortacespedes"
119,2019-10-23 10:54:12,4.636403333333333,-74.087795,249,0.815836249209525,"Carro diesel, cortacespedes"
120,2019-10-23 10:54:53,4.635778333333334,-74.087665,15,0.81655707406329,"Carro diesel, cortacespedes"
121,2019-10-23 10:55:08,4.63635,-74.08752833333331,249,0.8172719661349496,"Carro diesel, cortacespedes"
122,2019-10-23 10:59:17,4.635872,-74.08735809999999,13,0.8179810222878795,"Carro diesel, cortacespedes"
123,2019-10-23 10:56:00,4.635811666666667,-74.08698166666666,249,0.818684337032447,"Carro diesel, cortacespedes"
124,2019-10-23 11:00:09,4.6358648,-74.0872277,12,0.8193820026016112,"Carro diesel, cortacespedes"
125,2019-10-23 10:56:39,4.635983333333333,-74.08688666666667,14,0.8200741090235125,"Carro diesel, cortacespedes"
126,2019-10-23 10:56:53,4.6361300000000005,-74.08682833333334,15,0.8207607441911914,"Carro diesel, cortacespedes"
127,2019-10-23 10:57:08,4.636056666666667,-74.08663666666666,249,0.8214419939295736,"Carro diesel, cortacespedes"
128,2019-10-23 11:01:17,4.6358459000000005,-74.0860407,12,0.8221179420598497,"Carro diesel, cortacespedes"
129,2019-10-23 10:57:45,4.636233333333333,-74.086495,250,0.8227886704613673,"Carro diesel, cortacespedes"
130,2019-10-23 10:58:13,4.636476666666667,-74.08642333333334,14,0.8234542591311528,"Carro diesel, cortacespedes"
131,2019-10-23 10:58:27,4.636491666666667,-74.08654333333334,15,0.82411478624117,"Carro diesel, cortacespedes"
132,2019-10-23 10:58:42,4.636773333333333,-74.08663,16,0.8247703281934171,"Carro diesel, cortacespedes"
133,2019-10-23 10:58:58,4.636875,-74.08656666666667,17,0.8254209596729615,"Carro diesel, cortacespedes"
134,2019-10-23 10:59:15,4.6371433333333325,-74.0866866666667,15,0.8260667536990013,"Carro diesel, cortacespedes"
135,2019-10-23 10:59:30,4.637045,-74.08648333333333,14,0.8267077816740435,"Carro diesel, cortacespedes"
136,2019-10-23 10:59:44,4.637146666666666,-74.08651333333334,15,0.8273441134312813,"Carro diesel, cortacespedes"
137,2019-10-23 10:59:59,4.637353333333333,-74.0863716666667,16,0.8279758172802474,"Carro diesel, cortacespedes"
138,2019-10-23 11:00:15,4.637556666666667,-74.08643333333333,14,0.8286029600508189,"Carro diesel, cortacespedes"
139,2019-10-23 11:00:29,4.637718333333334,-74.086405,14,0.8292256071356476,"Carro diesel, cortacespedes"
140,2019-10-23 11:00:43,4.637781666666667,-74.08649333333331,15,0.829843822531076,"Carro diesel, cortacespedes"
141,2019-10-23 11:00:58,4.637858333333334,-74.08639166666667,21,0.8304576688766113,"Carro diesel, cortacespedes"
142,2019-10-23 11:01:19,4.6379199999999985,-74.08627499999999,15,0.8310672074930123,"Carro diesel, cortacespedes"
143,2019-10-23 11:01:34,4.637858333333334,-74.08605333333334,15,0.8316724984190499,"Carro diesel, cortacespedes"
144,2019-10-23 11:01:49,4.637918333333333,-74.08598333333333,14,0.8322736004469948,"Carro diesel, cortacespedes"
145,2019-10-23 11:02:03,4.637905,-74.08586,17,0.8328705711568872,"Carro diesel, cortacespedes"
146,2019-10-23 11:02:20,4.637273333333333,-74.08604166666667,14,0.8334634669496351,"Carro diesel, cortacespedes"
147,2019-10-23 11:02:34,4.637905,-74.08555833333334,14,0.8340523430789915,"Carro diesel, cortacespedes"
148,2019-10-23 11:02:48,4.6378900000000005,-74.08570666666667,249,0.8346372536824548,"Carro diesel, cortacespedes"
