Registro;lon ;lat;noise
160; 4,636576   ;-74,085792   ;77
161; 4,636757   ;-74,085815   ;78
162; 4,636978   ;-74,085822   ;70
163; 4,637198   ;-74,085819   ;73
164; 4,637385   ;-74,085798   ;79
165; 4,637574   ;-74,085711   ;90
166; 4,637767   ;-74,085732   ;82
167; 4,637961   ;-74,085582   ;88
168; 4,638098   ;-74,085323   ;83
169; 4,638292   ;-74,085024   ;89
170; 4,638419   ;-74,084778   ;90
171; 4,638594   ;-74,084442   ;89
172; 4,638715   ;-74,084223   ;88
173; 4,638877   ;-74,083910   ;88
174; 4,639023   ;-74,083598   ;81
175; 4,639354   ;-74,083181   ;61
176; 4,639610   ;-74,083138   ;60
177; 4,638808   ;-74,083573   ;65
178; 4,638520   ;-74,083385   ;70
179; 4,638236   ;-74,083412   ;68
180; 4,638113   ;-74,083707   ;60
181; 4,637953   ;-74,083970   ;69
182; 4,637809   ;-74,084265   ;67
183; 4,637985   ;-74,084469   ;69
184; 4,637899   ;-74,084748   ;65
185; 4,637589   ;-74,084662   ;68
186; 4,637659   ;-74,085027   ;61
187; 4,637760   ;-74,085381   ;62
188; 4,637509   ;-74,085381   ;69
189; 4,637076   ;-74,085483   ;62
190; 4,636889   ;-74,084946   ;67
191; 4,636702   ;-74,084694   ;70
192; 4,636734   ;-74,084335   ;68
193; 4,636777   ;-74,084072   ;68
194; 4,636809   ;-74,083804   ;60
195; 4,636926   ;-74,083535   ;67
196; 4,637033   ;-74,083273   ;60
197; 4,637194   ;-74,082919   ;70
198; 4,637369   ;-74,082699   ;67
199; 4,637544   ;-74,082713   ;60
200; 4,637663   ;-74,082774   ;64
201; 4,637802   ;-74,082543   ;69
202; 4,637986   ;-74,082929   ;68
203; 4,638196   ;-74,083028   ;63
204; 4,638030   ;-74,082621   ;60
205; 4,638209   ;-74,082281   ;69
206; 4,638363   ;-74,081946   ;71
207; 4,638160   ;-74,081754   ;71
208; 4,637881   ;-74,081572   ;74
209; 4,637610   ;-74,081414   ;67
210; 4,637309   ;-74,081230   ;73
211; 4,637064   ;-74,081112   ;71
212; 4,636768   ;-74,081022   ;75
213; 4,636506   ;-74,080954   ;70
214; 4,636287   ;-74,080920   ;68
215; 4,636052   ;-74,080911   ;66
216; 4,635316   ;-74,080673   ;74
217; 4,635074   ;-74,080444   ;75
218; 4,635025   ;-74,080662   ;75
219; 4,635126   ;-74,080986   ;71
220; 4,635213   ;-74,081310   ;75
221; 4,635300   ;-74,081652   ;65
222; 4,635567   ;-74,081696   ;65
223; 4,635794   ;-74,081763   ;72
224; 4,635981   ;-74,081849   ;66
225; 4,636106   ;-74,081942   ;65
226; 4,636400   ;-74,082073   ;69
227; 4,636810   ;-74,081806   ;70
228; 4,636270   ;-74,081447   ;66
229; 4,636029   ;-74,081217   ;66
230; 4,636659   ;-74,082221   ;68
231; 4,636863   ;-74,082339   ;72
232; 4,636813   ;-74,082606   ;74
233; 4,636541   ;-74,082699   ;65
234; 4,636183   ;-74,082773   ;68
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
